ISO,Country,trade,variable,estimate,se,pval,sig,trade_label,sensitivity
SA,Saudi Arabia,Trade_Imports,Event_Negative,0.0132653499795492,0.026126803403071,0.611643026266287,"",进口,-0.0517836293866217
SG,Singapore,Trade_Total,Event_Positive,-0.00302041835745518,0.0182110811013332,0.868270218969711,"",总贸易,0.0487526904061704
SG,Singapore,Trade_Total,Event_Negative,0.0457322720487152,0.0479285494176608,0.339994555905106,"",总贸易,0.0487526904061704
SG,Singapore,Trade_Exports,Event_Positive,0.0200952532319019,0.0237251681424991,0.39699428002533,"",出口,0.0487526904061704
SG,Singapore,Trade_Exports,Event_Negative,-0.00579472727353005,0.05302491966617,0.912977955412019,"",出口,0.0487526904061704
SG,Singapore,Trade_Imports,Event_Positive,-0.0578625148873454,0.022727468528883,0.0108987440213738,**,进口,0.0487526904061704
SG,Singapore,Trade_Imports,Event_Negative,0.131523875351561,0.0560158460806958,0.0188757256314381,**,进口,0.0487526904061704
TH,Thailand,Trade_Total,Event_Positive,0.0252566449823296,0.013520118150124,0.0617510994820894,*,总贸易,0.13692105488606
TH,Thailand,Trade_Total,Event_Negative,0.162177699868389,0.0510306528322609,0.00148271848629314,***,总贸易,0.13692105488606
TH,Thailand,Trade_Exports,Event_Positive,0.0907996372732195,0.0132072526201633,6.19972508430333e-12,***,出口,0.13692105488606
TH,Thailand,Trade_Exports,Event_Negative,0.128364409679918,0.0544556744306734,0.0184119663747845,**,出口,0.13692105488606
TH,Thailand,Trade_Imports,Event_Positive,-0.0458704053602564,0.0193045731717191,0.0174947330324001,**,进口,0.13692105488606
TH,Thailand,Trade_Imports,Event_Negative,0.209119879105139,0.0634497441553571,0.000981296769039507,***,进口,0.13692105488606
US,United States,Trade_Total,Event_Positive,-0.177663402734867,0.019448577500694,6.53866609629208e-20,***,总贸易,0.105868866587867
US,United States,Trade_Total,Event_Negative,-0.0717945361469996,0.0155816005696111,4.07248636942209e-06,***,总贸易,0.105868866587867
US,United States,Trade_Exports,Event_Positive,-0.165964453894475,0.0212470539822023,5.66573458521089e-15,***,出口,0.105868866587867
US,United States,Trade_Exports,Event_Negative,-0.0689478948308461,0.0185581027541745,0.000203007058327899,***,出口,0.105868866587867
US,United States,Trade_Imports,Event_Positive,-0.166173681349124,0.0249660774062152,2.81420864839184e-11,***,进口,0.105868866587867
US,United States,Trade_Imports,Event_Negative,-0.066037295057256,0.0203979922993768,0.00120606907234896,***,进口,0.105868866587867
VN,Vietnam,Trade_Total,Event_Positive,0.224959781039114,0.0259570497128569,4.45153358155334e-18,***,总贸易,-0.347584822224396
VN,Vietnam,Trade_Total,Event_Negative,-0.122625041185282,0.0203546475854167,1.69712217946087e-09,***,总贸易,-0.347584822224396
VN,Vietnam,Trade_Exports,Event_Positive,0.192752450344174,0.0224840624031629,1.00956679197987e-17,***,出口,-0.347584822224396
VN,Vietnam,Trade_Exports,Event_Negative,-0.0759199049281932,0.026252264832361,0.0038287429942645,***,出口,-0.347584822224396
VN,Vietnam,Trade_Imports,Event_Positive,0.271604820314527,0.038723369139721,2.31637499573838e-12,***,进口,-0.347584822224396
VN,Vietnam,Trade_Imports,Event_Negative,-0.223402799192283,0.0280025396488597,1.48786305992531e-15,***,进口,-0.347584822224396
