db,country,ally,category,event,post_month,shock
GDELT,France,Non-Ally,Diplomatic protest / friction,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),0,-0.8222086263895412
GDELT,France,Non-Ally,Diplomatic protest / friction,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),1,1.7976722574540938
GDELT,France,Non-Ally,Diplomatic protest / friction,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),3,0.35115934653272807
GDELT,France,Non-Ally,Diplomatic protest / friction,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),6,0.036180064936190054
GDELT,France,Non-Ally,Cultural / people-to-people cooperation,China-France joint statement on climate change,0,0.24491904011482618
GDELT,France,Non-Ally,Cultural / people-to-people cooperation,China-France joint statement on climate change,1,-0.05079124159143944
GDELT,France,Non-Ally,Cultural / people-to-people cooperation,China-France joint statement on climate change,3,-0.6260286392681597
GDELT,France,Non-Ally,Cultural / people-to-people cooperation,China-France joint statement on climate change,6,-1.0296546457095621
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Partnership with Global Responsibility established,0,0.305450513543547
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Partnership with Global Responsibility established,1,-2.0041835719575842
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Partnership with Global Responsibility established,3,-2.5303161603343662
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Partnership with Global Responsibility established,6,0.592645031076245
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Joint communiqué on advancing strategic partnership,0,-0.48413807511227624
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Joint communiqué on advancing strategic partnership,1,-0.4973547819168019
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Joint communiqué on advancing strategic partnership,3,0.4643935140053196
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Joint communiqué on advancing strategic partnership,6,-1.4162443374974139
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,0,-0.24556311291682437
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,1,0.5784689255970776
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,3,-0.2886055724687254
GDELT,Germany,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,6,-0.7695529566103757
GDELT,Germany,Non-Ally,Economic win-win cooperation,Germany applies to join AIIB as founding member,0,0.8124046872011076
GDELT,Germany,Non-Ally,Economic win-win cooperation,Germany applies to join AIIB as founding member,1,-1.0678033870969994e-4
GDELT,Germany,Non-Ally,Economic win-win cooperation,Germany applies to join AIIB as founding member,3,-0.6308861564515544
GDELT,Germany,Non-Ally,Economic win-win cooperation,Germany applies to join AIIB as founding member,6,-0.521078944078458
GDELT,Germany,Non-Ally,Economic sanction / tariff barrier,Midea acquires Kuka amid technology concerns,0,-1.0074218764431273
GDELT,Germany,Non-Ally,Economic sanction / tariff barrier,Midea acquires Kuka amid technology concerns,1,0.9312884358905293
GDELT,Germany,Non-Ally,Economic sanction / tariff barrier,Midea acquires Kuka amid technology concerns,3,-0.09830526464005973
GDELT,Germany,Non-Ally,Economic sanction / tariff barrier,Midea acquires Kuka amid technology concerns,6,0.9603037338490408
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW to raise stake in BMW Brilliance Automotive JV to 75%,0,-1.0144865060661563
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW to raise stake in BMW Brilliance Automotive JV to 75%,1,-0.20233585450586522
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW to raise stake in BMW Brilliance Automotive JV to 75%,3,-1.170171801289738
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW to raise stake in BMW Brilliance Automotive JV to 75%,6,-0.7534218557833601
GDELT,Germany,Non-Ally,Economic win-win cooperation,EU-China Comprehensive Agreement on Investment concluded,0,0.8971515565766115
GDELT,Germany,Non-Ally,Economic win-win cooperation,EU-China Comprehensive Agreement on Investment concluded,1,1.0484958093449106
GDELT,Germany,Non-Ally,Economic win-win cooperation,EU-China Comprehensive Agreement on Investment concluded,3,1.8265458104251793
GDELT,Germany,Non-Ally,Economic win-win cooperation,EU-China Comprehensive Agreement on Investment concluded,6,0.6953011348417675
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW acquires 75% stake in China joint venture as ownership caps lift,0,0.12412811675244839
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW acquires 75% stake in China joint venture as ownership caps lift,1,-0.06634735730055485
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW acquires 75% stake in China joint venture as ownership caps lift,3,-0.831573733249932
GDELT,Germany,Non-Ally,Economic win-win cooperation,BMW acquires 75% stake in China joint venture as ownership caps lift,6,-0.5294428519945964
