h,estimate,se,pvalue,n,n_country,window_id,db,trade,pol_var
0,0.00143363854303205,0.00154703841196789,0.35408297328682,1114,23,1,Phoenix,Trade_Exports,Pol_Partner_CHN
1,-0.00162173847509912,0.00174297155468917,0.352140934287029,1114,23,1,Phoenix,Trade_Exports,Pol_Partner_CHN
2,-0.00231834250340986,0.00147070799044444,0.114946423326478,1114,23,1,Phoenix,Trade_Exports,Pol_Partner_CHN
3,-0.00269952195679164,0.00153370650045551,0.0783858629417432,1114,23,1,Phoenix,Trade_Exports,Pol_Partner_CHN
4,-0.00426651747328014,0.00135574177596109,0.00164955750650376,1114,23,1,Phoenix,Trade_Exports,Pol_Partner_CHN
5,-0.00243196779481563,0.00163495390705748,0.136887023147048,1114,23,1,Phoenix,Trade_Exports,Pol_Partner_CHN
6,-0.00377013110779772,0.00236181067908339,0.110424407626387,1114,23,1,Phoenix,Trade_Exports,Pol_Partner_CHN
0,0.00409054138962791,0.00229415855787139,0.0745822815877246,1158,23,1,Phoenix,Trade_Imports,Pol_Agg
1,0.00362159153888047,0.00231066110894327,0.117035244794493,1158,23,1,Phoenix,Trade_Imports,Pol_Agg
2,0.00272568064245028,0.00240354487917997,0.256783946143647,1158,23,1,Phoenix,Trade_Imports,Pol_Agg
3,-0.000231814614689763,0.0013889700442249,0.86745127428513,1158,23,1,Phoenix,Trade_Imports,Pol_Agg
4,-0.000836436335005939,0.00196064355637848,0.669661113918605,1158,23,1,Phoenix,Trade_Imports,Pol_Agg
5,0.00579753125303933,0.00200227901712678,0.00378595777387424,1158,23,1,Phoenix,Trade_Imports,Pol_Agg
6,0.00406177569585647,0.00165294139063996,0.0139985068316329,1158,23,1,Phoenix,Trade_Imports,Pol_Agg
0,0.00333463796733419,0.00232186923104621,0.15094919085182,1156,23,1,Phoenix,Trade_Imports,Pol_CHN_Partner
1,0.00144982973617767,0.00147891201761496,0.326920608805969,1156,23,1,Phoenix,Trade_Imports,Pol_CHN_Partner
2,0.0016429675243632,0.00212385130753555,0.439179584679397,1156,23,1,Phoenix,Trade_Imports,Pol_CHN_Partner
3,0.000131515875220124,0.001398313365017,0.925066880235078,1156,23,1,Phoenix,Trade_Imports,Pol_CHN_Partner
4,-0.0013903138408351,0.00202577706738085,0.492516778603227,1156,23,1,Phoenix,Trade_Imports,Pol_CHN_Partner
5,0.00314005497198598,0.00199346886496746,0.115216906603572,1156,23,1,Phoenix,Trade_Imports,Pol_CHN_Partner
6,0.00358557507696182,0.00138021529423334,0.00938128725911311,1156,23,1,Phoenix,Trade_Imports,Pol_CHN_Partner
0,0.00375612076891795,0.00237201858646562,0.113304729926268,1114,23,1,Phoenix,Trade_Imports,Pol_Partner_CHN
1,0.00412146336639275,0.00217629076383486,0.0582513226236166,1114,23,1,Phoenix,Trade_Imports,Pol_Partner_CHN
2,0.00446269545287717,0.00163408217871276,0.00631404757894919,1114,23,1,Phoenix,Trade_Imports,Pol_Partner_CHN
3,0.00173714044500809,0.001378674520533,0.207666601981463,1114,23,1,Phoenix,Trade_Imports,Pol_Partner_CHN
4,0.000651132956419509,0.00196707714576439,0.740632803944198,1114,23,1,Phoenix,Trade_Imports,Pol_Partner_CHN
5,0.00546560786161639,0.00200292854483653,0.0063563659795586,1114,23,1,Phoenix,Trade_Imports,Pol_Partner_CHN
6,0.00165081537820912,0.00227974512884182,0.468990361060265,1114,23,1,Phoenix,Trade_Imports,Pol_Partner_CHN
0,0.0189443589679306,0.0168118700710242,0.259808341732905,564,11,1,Tsinghua,Trade_Total,Pol_Agg
1,0.01678247955866,0.0145261789380935,0.247956745512168,564,11,1,Tsinghua,Trade_Total,Pol_Agg
2,0.00303984384246912,0.0182686000066447,0.867844379320198,564,11,1,Tsinghua,Trade_Total,Pol_Agg
3,-0.000196528250973795,0.0125257645063501,0.987481768178436,564,11,1,Tsinghua,Trade_Total,Pol_Agg
4,-0.0278286662380251,0.0196761968853285,0.15726457461335,564,11,1,Tsinghua,Trade_Total,Pol_Agg
5,0.0336860797026074,0.0163411986866258,0.0392629539768621,564,11,1,Tsinghua,Trade_Total,Pol_Agg
6,-0.00739567974593065,0.0183660057734972,0.68718138378296,564,11,1,Tsinghua,Trade_Total,Pol_Agg
0,-0.0310404244859658,0.0305078134994041,0.308935515630748,564,11,1,Tsinghua,Trade_Exports,Pol_Agg
1,0.0314154318561934,0.0202224988608782,0.120306327757255,564,11,1,Tsinghua,Trade_Exports,Pol_Agg
2,-0.000700664904300974,0.0273050176328978,0.979527998475267,564,11,1,Tsinghua,Trade_Exports,Pol_Agg
3,0.00559612688589745,0.0200521145056649,0.780184090704449,564,11,1,Tsinghua,Trade_Exports,Pol_Agg
4,0.0191156017080953,0.0261306254482563,0.464449288766775,564,11,1,Tsinghua,Trade_Exports,Pol_Agg
5,0.0310693241680204,0.0195969984321319,0.112872667391681,564,11,1,Tsinghua,Trade_Exports,Pol_Agg
6,-0.00911161313655364,0.0255929161678689,0.721824910778669,564,11,1,Tsinghua,Trade_Exports,Pol_Agg
0,0.0588940529631043,0.0234096106370703,0.0118760331065858,564,11,1,Tsinghua,Trade_Imports,Pol_Agg
1,-0.0030569922527572,0.0310988440519957,0.921694693970425,564,11,1,Tsinghua,Trade_Imports,Pol_Agg
2,0.0272817271486221,0.0357138419759482,0.444928117980068,564,11,1,Tsinghua,Trade_Imports,Pol_Agg
3,-0.00114412090356394,0.0203121740775239,0.955081424827327,564,11,1,Tsinghua,Trade_Imports,Pol_Agg
4,-0.0709980358315347,0.035884037499484,0.0478677193877286,564,11,1,Tsinghua,Trade_Imports,Pol_Agg
5,0.0599029574923235,0.04152259167347,0.149116439467474,564,11,1,Tsinghua,Trade_Imports,Pol_Agg
6,-0.0601629344469063,0.0229041733600611,0.00862113109844126,564,11,1,Tsinghua,Trade_Imports,Pol_Agg
0,-0.000661483869280004,0.00272278507390547,0.80804890105871,1329,23,2,GDELT,Trade_Total,Pol_Agg
1,-0.000688370161877151,0.00307585027790746,0.822914227873345,1329,23,2,GDELT,Trade_Total,Pol_Agg
2,0.000305572526704851,0.00199052901085609,0.877993562358628,1329,23,2,GDELT,Trade_Total,Pol_Agg
3,-0.00133989473295095,0.00173641899685177,0.440326182529886,1329,23,2,GDELT,Trade_Total,Pol_Agg
4,0.000591925979449085,0.00174378883003576,0.734272113339268,1329,23,2,GDELT,Trade_Total,Pol_Agg
5,-0.000537054908323349,0.00172703456915833,0.755823882357636,1329,23,2,GDELT,Trade_Total,Pol_Agg
6,-0.000722798244575228,0.00132888063815859,0.586499897813813,1329,23,2,GDELT,Trade_Total,Pol_Agg
0,0.000522361260447076,0.00260045877429948,0.840798089227127,1329,23,2,GDELT,Trade_Total,Pol_CHN_Partner
1,-0.000798855584064604,0.0026163133903302,0.760109992758868,1329,23,2,GDELT,Trade_Total,Pol_CHN_Partner
2,-0.000525841428479541,0.00159403540228609,0.741490147831041,1329,23,2,GDELT,Trade_Total,Pol_CHN_Partner
3,-0.00166948451562144,0.00162695660092286,0.304825809866083,1329,23,2,GDELT,Trade_Total,Pol_CHN_Partner
4,-5.33027658314837e-06,0.00147288612605272,0.997112515331598,1329,23,2,GDELT,Trade_Total,Pol_CHN_Partner
5,-0.00155616858496992,0.00184572683600401,0.399161523677475,1329,23,2,GDELT,Trade_Total,Pol_CHN_Partner
6,0.00016193200194121,0.00222141237527717,0.941888903726443,1329,23,2,GDELT,Trade_Total,Pol_CHN_Partner
0,0.000449092912771333,0.00222516355717791,0.840053790257979,1329,23,2,GDELT,Trade_Total,Pol_Partner_CHN
1,0.000919341333984388,0.00224956175971196,0.682777633995611,1329,23,2,GDELT,Trade_Total,Pol_Partner_CHN
2,0.00158592692291361,0.00145329532754235,0.275157323722533,1329,23,2,GDELT,Trade_Total,Pol_Partner_CHN
3,0.000643468412682119,0.0014722583175353,0.662066262699191,1329,23,2,GDELT,Trade_Total,Pol_Partner_CHN
4,0.00169803018740038,0.0016965089050756,0.316876745632083,1329,23,2,GDELT,Trade_Total,Pol_Partner_CHN
5,0.00178528976536336,0.00161137567325012,0.267892499646369,1329,23,2,GDELT,Trade_Total,Pol_Partner_CHN
6,-2.42791376676093e-07,0.00154851515084444,0.999874899841925,1329,23,2,GDELT,Trade_Total,Pol_Partner_CHN
0,-0.00100898734682821,0.00362559792297297,0.780785581013126,1329,23,2,GDELT,Trade_Exports,Pol_Agg
1,-0.000810556223187022,0.00294264819122719,0.782969548195147,1329,23,2,GDELT,Trade_Exports,Pol_Agg
