h,estimate,se,pvalue,n,n_country,window_id,window_length,window_midpoint,db,trade,lag_order
0,0.0152120496947228,0.010039798154734,0.129728129560392,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
1,0.00957663041851637,0.00832379826811924,0.249933023684199,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
2,0.00595429168163706,0.0075477347670874,0.430179460479859,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
3,0.0021462974107652,0.00674571494061401,0.750354493625606,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
4,-0.0110089956272881,0.00505986390029615,0.0295740073604947,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
5,0.00584300952628314,0.00896814308352347,0.514704758688515,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
6,0.00745494004438637,0.00597264172970866,0.211964650531493,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
7,0.0150135642074408,0.00747433200154962,0.0445707544920829,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
8,0.00626704790633724,0.00681974378591392,0.358118323486448,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
9,0.00940647104487616,0.00740809353567538,0.204171566496222,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
10,0.00466452256374042,0.00900500300684743,0.604463614990938,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
11,-0.000545914718922233,0.00665957053006145,0.934667020560157,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
12,0.000503254358819169,0.00797453085521843,0.94968073702153,483,21,1,36,2003-07-01,Phoenix,Trade_Imports,12
0,0.000268517123769461,0.00389485418931722,0.945036177978508,322,11,1,36,2003-07-01,Tsinghua,Trade_Total,3
1,-0.00398362963879715,0.00442643507894176,0.368139719404515,322,11,1,36,2003-07-01,Tsinghua,Trade_Total,3
2,-0.00513452938992346,0.00467079898600643,0.271644694763012,322,11,1,36,2003-07-01,Tsinghua,Trade_Total,3
3,0.00350211649049734,0.00285209345942974,0.219480437827613,322,11,1,36,2003-07-01,Tsinghua,Trade_Total,3
